name,lat,lng
Admiralty Primary School,1.4429414,103.80034506744822
Ahmad Ibrahim Primary School,1.4338487,103.83270977683569
Ai Tong School,1.3607125500000001,103.83301753795786
Alexandra Primary School,1.2912837000000001,103.82406594082047
Anchor Green Primary School,1.3903797999999998,103.8873537933713
Anderson Primary School,1.38443915,103.84141596723363
Anglo-Chinese School (Junior),1.30928255,103.8413025008237
Anglo-Chinese School (Primary),1.31875235,103.83507692293153
Angsana Primary School,1.36358045,103.93891021314855
Ang Mo Kio Primary School,1.3691002,103.83936023522986
Balestier Hill Primary School,1.325701,103.84445960930233
Beacon Primary School,1.3841149499999998,103.77380560574733
Bedok Green Primary School,1.3240565000000002,103.93783056591907
Bendemeer Primary School,1.3222938499999999,103.86508845
Blangah Rise Primary School,1.27640575,103.80880997314256
Boon Lay Garden Primary School,1.3428882,103.71293314363199
Bukit Panjang Primary School,1.3734053,103.76939883022703
Bukit Timah Primary School,1.33751905,103.76684937098565
Bukit View Primary School,1.34570095,103.7535184997777
Canberra Primary School,1.45085035,103.81559371692055
Canossa Catholic Primary School,1.3263004,103.8794081
Cantonment Primary School,1.2758142000000001,103.83988838698619
Casuarina Primary School,1.3728079,103.9572278570395
Catholic High School (Primary),1.35492755,103.84498827399534
Cedar Primary School,1.3355312499999998,103.8754848107003
Changkat Primary School,1.33982335,103.95227531092621
CHIJ (Katong) Primary,1.3058723,103.9105929
CHIJ (Kellock),1.274664,103.8280550817506
CHIJ Our Lady of Good Counsel,1.3577786,103.86393027516013
CHIJ Our Lady of the Nativity,1.37311065,103.89768985814462
CHIJ Our Lady Queen of Peace,1.3664051000000002,103.768196996015
CHIJ Primary (Toa Payoh),1.3331269,103.84240300250805
CHIJ St. Nicholas Girls' School,1.37344905,103.83407767975933
Chongfu School,1.4387276,103.83929013137512
Chongzheng Primary School,1.35054425,103.95092058934961
Chua Chu Kang Primary School,1.37793775,103.74198414587175
Clementi Primary School,1.31556955,103.76320883321443
Compassvale Primary School,1.3945064,103.8980350715747
Concord Primary School,1.38021795,103.73633268488206
Coral Primary School,1.3684259,103.95101110670514
Corporation Primary School,1.35142845,103.70769543642461
Da Qiao Primary School,1.37217565,103.85938416194557
Damai Primary School,1.3354514,103.92139171652317
Dazhong Primary School,1.3591826,103.74796785698436
De La Salle School,1.3950086000000002,103.74325929182976
East Coast Primary School,1.3295133,103.9199019774152
East Spring Primary School,1.3528815,103.96191726928652
East View Primary School,1.3470990999999999,103.93975707433935
Edgefield Primary School,1.40035045,103.90752739305407
Elias Park Primary School,1.37491195,103.94517579238352
Endeavour Primary School,1.4544299500000002,103.81757920859401
Eunos Primary School,1.32463215,103.90458530342072
Evergreen Primary School,1.44383025,103.79473608556
Fairfield Methodist School (Primary),1.3004399,103.7826964
Farrer Park Primary School,1.3125247,103.8510381626646
Fengshan Primary School,1.3300987,103.93188245052653
Fernvale Primary School,1.3899632999999998,103.8742108705357
First Toa Payoh Primary School,1.3404649,103.8558674534298
Frontier Primary School,1.3369298,103.69963774202806
Fuchun Primary School,1.43072155,103.77823059447893
Fuhua Primary School,1.3364853499999998,103.73645449079083
Gan Eng Seng Primary School,1.2858741500000002,103.81513175137866
Geylang Methodist School (Primary),1.3176038499999998,103.883251178634
Gongshang Primary School,1.3573263,103.94931114016394
Greendale Primary School,1.39620005,103.91272454370991
Greenridge Primary School,1.3856168,103.76800482210834
Greenwood Primary School,1.4399652,103.8047573433338
Guangyang Primary School,1.3457530000000002,103.84930970398092
Haig Girls' School,1.31173415,103.90267301151283
Holy Innocents' Primary School,1.37499965,103.85742947996668
Henry Park Primary School,1.3170568999999999,103.78421632658535
Hong Wen School,1.32178305,103.85752691301875
Horizon Primary School,1.39998505,103.91311619800231
Hougang Primary School,1.3783581,103.88107202176852
Huamin Primary School,1.42686205,103.84426433501295
Innova Primary School,1.4292761,103.79073434544745
Jiemin Primary School,1.42810765,103.83017091898063
Jing Shan Primary School,1.3722577999999999,103.85201520714915
Junyuan Primary School,1.347782,103.9393972465966
Jurong Primary School,1.3487249000000001,103.73305563805556
Jurong West Primary School,1.3393141499999999,103.69902734141112
Juying Primary School,1.33875125,103.68825378175828
Keming Primary School,1.3453422000000002,103.75639902669866
Kheng Cheng School,1.33703365,103.84744227895004
Kong Hwa School,1.3111953,103.88787278336936
Kranji Primary School,1.39393915,103.74715505973106
Kuo Chuan Presbyterian Primary School,1.3492022000000001,103.85503898769153
Lakeside Primary School,1.33834735,103.71798831116391
Lianhua Primary School,1.353623,103.7522419
Loyang Primary School,1.3708794000000002,103.95623138651112
MacPherson Primary School,1.3245444,103.88162980070163
Maha Bodhi School,1.3284777,103.90153454958934
Maris Stella High School,1.34203865,103.87832755031559
Marsiling Primary School,1.4341551,103.77336667761655
Marymount Convent School,1.3402824,103.83975627199351
Mayflower Primary School,1.3766642,103.84324206414888
Mee Toh School,1.3948814,103.90854484597197
Meridian Primary School,1.3760329,103.9352079847041
Methodist Girls' School (Primary),1.3328403500000001,103.78357653245811
Montfort Junior School,1.3746523499999999,103.88953676594389
Nan Chiau Primary School,1.3920267499999999,103.89104244775346
Nan Hua Primary School,1.3065167500000001,103.76477114778905
Nanyang Primary School,1.3208318499999998,103.80821659496904
Ngee Ann Primary School,1.30554595,103.91795247595277
Naval Base Primary School,1.4165306000000002,103.83846101951393
New Town Primary School,1.29972515,103.80008513099864
Northland Primary School,1.4212034,103.84058396984423
Northoaks Primary School,1.4452356000000002,103.80657684144126
North Spring Primary School,1.3876014,103.9037892237047
North View Primary School,1.42773465,103.8486565717647
North Vista Primary School,1.3828947999999999,103.89597706955436
Oasis Primary School,1.40470205,103.91100795444132
Opera Estate Primary School,1.3196642,103.92376598402687
Palm View Primary School,1.38410015,103.89115435183996
Park View Primary School,1.377586,103.9373421
Pasir Ris Primary School,1.37215285,103.96302630022184
Paya Lebar Methodist Girls' School (Primary),1.3507512,103.8828222
Pei Chun Public School,1.3370857,103.85567994909927
Pei Hwa Presbyterian Primary School,1.3380993,103.77621882050181
Pei Tong Primary School,1.316004,103.76784516774438
Peiying Primary School,1.4177946000000001,103.83016958773982
Pioneer Primary School,1.3489146,103.69480866814555
Poi Ching School,1.3577705,103.93548678736875
Princess Elizabeth Primary School,1.3493822,103.74095420018139
Punggol Cove Primary School,1.4117400999999998,103.89921923530514
Punggol Green Primary School,1.4019807499999999,103.89854883359155
Punggol Primary School,1.3781311500000002,103.89475446575264
Punggol View Primary School,1.4053286,103.90527821978418
Qifa Primary School,1.31280555,103.75696495470032
Qihua Primary School,1.4420502000000002,103.78833369286497
Queenstown Primary School,1.2960256,103.8078517193143
Radin Mas Primary School,1.2750442,103.8240239309686
Raffles Girls' Primary School,1.33012955,103.80626230616794
Red Swastika School,1.3336412,103.93461860928615
Riverside Primary School,1.4472779,103.80183283378793
River Valley Primary School,1.29398185,103.83608472066169
Rivervale Primary School,1.39365955,103.9046125317468
Rosyth School,1.37276625,103.87452822134901
Rulang Primary School,1.34660905,103.71873699937234
Sembawang Primary School,1.4452989,103.82089038717231
Sengkang Green Primary School,1.39288245,103.87480361151378
Seng Kang Primary School,1.38939055,103.89939534841366
Shuqun Primary School,1.34712705,103.72159024757968
Si Ling Primary School,1.4327239999999999,103.7857785129217
Singapore Chinese Girls’ School (Primary),1.3210897,103.82786731298657
South View Primary School,1.38236605,103.75599912138452
