name,type,lat,lng
Central Business District,CR,1.2867684143873221,103.85452859811022
Jurong Lake District,CR,1.3340851937252969,103.73451290700358
Seletar Regional Centre,CR,1.4094350737558101,103.86681982397899
Tampines Regional Centre,CR,1.353180098998845,103.94518782505514
Woodlands Regional Centre,CR,1.4367480296002553,103.78648452433362
Airport Logistics Park,IEBP,1.375855948014156,104.00261713276852
Changi Aviation Park,IEBP,1.3688025044881713,104.0010260298899
Changi Business Park,IEBP,1.3351233377063305,103.96512734569824
Defu Industrial Park,IEPB,1.3554574266919366,103.89507433076788
International Business Park,IEBP,1.3279106942717798,103.7474049185607
Jurong Industrial Estate,IEBP,1.3254509028953463,103.69542081107878
Jurong Innovation District,IEBP,1.3532932825547128,103.69489595840736
Lorong Halus Industrial Park,IEBP,1.3753859433463473,103.90211244682443
Loyang Industrial Estate,IEBP,1.3834519517765969,103.97442538152417
one-north,IEBP,1.2988137196123122,103.78893793582031
Pasir Ris Wafer Fab Park,IEBP,1.3807596105297242,103.93098772642041
Punggol Digital District,IEBP,1.4112887957330322,103.91169675484642
Seletar Aerospace Park,IEBP,1.4094350737558101,103.86681982397899
Sengkang West,IEBP,1.393527165189542,103.86189349867558
Senoko Industrial Estate,IEBP,1.458683499637184,103.79906142818328
Singapore Science Park I,IEBP,1.2906097078777858,103.78800518013368
Singapore Science Park II,IEBP,1.2881212406706988,103.78133184384583
Sungei Kadut,IEBP,1.4158953727438495,103.7522369054862
Tuas Industrial Estate,IEBP,1.2953689451437567,103.62578743391794
Tuas Medical Park,IEBP,1.2888904946615136,103.62668866467253
Alexandra,BN,1.2874707311048603, 103.8043497446401
Bishan,BN,1.3508508706556435,103.84822054171102
Changi East Urban District,BN,1.320497421694186,103.99216684090142
Buona Vista,BN,1.306478517678097,103.79007848403518
Novena,BN,1.320016219162997,103.84339509567327
Paya Lebar Central,BN,1.318164255558611,103.89350043510498
Serangoon,BN,1.3512539597995081,103.87229637535467
Tao Payoh,BN,1.3325901802672677,103.84822378826966
Nanyang Technological University,IHL,1.3489064085832703,103.68264362732475
National University of Singapore,IHL,1.2957699114196053,103.77599523066463
Singapore Institute of Technology,IHL,1.3014721033245824,103.78052022642066
Singapore Univeristy of Technology and Design,IHL,1.3413984036057474,103.96356396717968
Singapore Management University,IHL,1.2960689033343546,103.85031873011692
